severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Developing-Android-Apps---Exercises-II	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Developing-Android-Apps---Exercises-II	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Developing-Android-Apps---Exercises-II	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		46.0		java:S1939	Developing-Android-Apps---Exercises-II	1min		Extensions and implementations should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	1min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Developing-Android-Apps---Exercises-II	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Developing-Android-Apps---Exercises-II	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Developing-Android-Apps---Exercises-II	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1264	Developing-Android-Apps---Exercises-II	5min		"A ""while"" loop should be used instead of a ""for"" loop"	2023-03-07T02:54:15+0000	CODE_SMELL	false	performance /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Developing-Android-Apps---Exercises-II	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Developing-Android-Apps---Exercises-II	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Developing-Android-Apps---Exercises-II	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Developing-Android-Apps---Exercises-II	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		34.0		java:S2225	Developing-Android-Apps---Exercises-II	5min		"""toString()"" and ""clone()"" methods should not return null"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		3.0		java:S3046	Developing-Android-Apps---Exercises-II	30min		"""wait"" should not be called when multiple locks are held"	2023-03-07T02:54:15+0000	BUG	false	confusing / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	30min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		18.0		java:S2134	Developing-Android-Apps---Exercises-II	5min		"Classes extending java.lang.Thread should override the ""run"" method"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Developing-Android-Apps---Exercises-II	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Developing-Android-Apps---Exercises-II	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Developing-Android-Apps---Exercises-II	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Developing-Android-Apps---Exercises-II	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1264	Developing-Android-Apps---Exercises-II	5min		"A ""while"" loop should be used instead of a ""for"" loop"	2023-03-07T02:54:15+0000	CODE_SMELL	false	performance /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Developing-Android-Apps---Exercises-II	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Developing-Android-Apps---Exercises-II	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Developing-Android-Apps---Exercises-II	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		18.0		java:S2134	Developing-Android-Apps---Exercises-II	5min		"Classes extending java.lang.Thread should override the ""run"" method"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Developing-Android-Apps---Exercises-II	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Developing-Android-Apps---Exercises-II	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Developing-Android-Apps---Exercises-II	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Developing-Android-Apps---Exercises-II	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Developing-Android-Apps---Exercises-II	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Developing-Android-Apps---Exercises-II	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		18.0		java:S2134	Developing-Android-Apps---Exercises-II	5min		"Classes extending java.lang.Thread should override the ""run"" method"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Developing-Android-Apps---Exercises-II	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Developing-Android-Apps---Exercises-II	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Developing-Android-Apps---Exercises-II	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Developing-Android-Apps---Exercises-II	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Developing-Android-Apps---Exercises-II:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
