severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Developer-Nanodegree---Widget-Example	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Android-Developer-Nanodegree---Widget-Example	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Android-Developer-Nanodegree---Widget-Example	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Developer-Nanodegree---Widget-Example	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Android-Developer-Nanodegree---Widget-Example	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Android-Developer-Nanodegree---Widget-Example	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		2.0		java:S3067	Android-Developer-Nanodegree---Widget-Example	5min		"""getClass"" should not be used for synchronization"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		3.0		java:S1849	Android-Developer-Nanodegree---Widget-Example	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	BUG	true	pitfall /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S2272	Android-Developer-Nanodegree---Widget-Example	5min		"""Iterator.next()"" methods should throw ""NoSuchElementException"""	2023-03-07T02:54:15+0000	BUG	false	cert / design / suspicious /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		18.0		java:S2134	Android-Developer-Nanodegree---Widget-Example	5min		"Classes extending java.lang.Thread should override the ""run"" method"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Android-Developer-Nanodegree---Widget-Example	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Android-Developer-Nanodegree---Widget-Example	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Android-Developer-Nanodegree---Widget-Example	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Android-Developer-Nanodegree---Widget-Example	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Android-Developer-Nanodegree---Widget-Example	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Android-Developer-Nanodegree---Widget-Example	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Android-Developer-Nanodegree---Widget-Example	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S1849	Android-Developer-Nanodegree---Widget-Example	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / redundant / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	20min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S1541	Android-Developer-Nanodegree---Widget-Example	20min		Methods should not be too complex	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / confusing / redundant /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	20min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Android-Developer-Nanodegree---Widget-Example	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Android-Developer-Nanodegree---Widget-Example	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Android-Developer-Nanodegree---Widget-Example	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Android-Developer-Nanodegree---Widget-Example	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Android-Developer-Nanodegree---Widget-Example	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S1849	Android-Developer-Nanodegree---Widget-Example	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / redundant / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	20min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S1541	Android-Developer-Nanodegree---Widget-Example	20min		Methods should not be too complex	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / confusing / redundant /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	20min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Developer-Nanodegree---Widget-Example	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Android-Developer-Nanodegree---Widget-Example	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Android-Developer-Nanodegree---Widget-Example	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Developer-Nanodegree---Widget-Example	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		84.0		java:S2189	Android-Developer-Nanodegree---Widget-Example	15min		Loops should not be infinite	2023-03-07T02:54:15+0000	BUG	true	convention / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	15min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		87.0		java:S6104	Android-Developer-Nanodegree---Widget-Example	10min		"Map ""computeIfAbsent()"" and ""computeIfPresent()"" should not be used to add ""null"" values."	2023-03-07T02:54:15+0000	BUG	false	cert / pitfall / serialization /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		90.0		java:S2184	Android-Developer-Nanodegree---Widget-Example	5min		Math operands should be cast before assignment	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		84.0		java:S2189	Android-Developer-Nanodegree---Widget-Example	15min		Loops should not be infinite	2023-03-07T02:54:15+0000	BUG	true	convention / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	15min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		87.0		java:S6104	Android-Developer-Nanodegree---Widget-Example	10min		"Map ""computeIfAbsent()"" and ""computeIfPresent()"" should not be used to add ""null"" values."	2023-03-07T02:54:15+0000	BUG	false	cert / pitfall / serialization /	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		90.0		java:S2184	Android-Developer-Nanodegree---Widget-Example	5min		Math operands should be cast before assignment	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Widget-Example:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
