severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Developing-Android-Apps---Exercises-I	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
BLOCKER	2023-03-07T02:54:15+0000		25.0		java:S2387	Developing-Android-Apps---Exercises-I	5min		"""x"" is the name of a field in ""Component""."	2023-03-07T02:54:15+0000	CODE_SMELL	false	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	Developing-Android-Apps---Exercises-I	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		101.0		java:S3252	Developing-Android-Apps---Exercises-I	5min		"Use static access with ""javax.swing.WindowConstants"" for ""EXIT_ON_CLOSE""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=101.0, endLine=101.0, startOffset=46.0, endOffset=59.0}	5min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Developing-Android-Apps---Exercises-I	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Developing-Android-Apps---Exercises-I	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
BLOCKER	2023-03-07T02:54:15+0000		25.0		java:S2387	Developing-Android-Apps---Exercises-I	5min		"""x"" is the name of a field in ""Component""."	2023-03-07T02:54:15+0000	CODE_SMELL	false	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	Developing-Android-Apps---Exercises-I	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		101.0		java:S3252	Developing-Android-Apps---Exercises-I	5min		"Use static access with ""javax.swing.WindowConstants"" for ""EXIT_ON_CLOSE""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=101.0, endLine=101.0, startOffset=46.0, endOffset=59.0}	5min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Developing-Android-Apps---Exercises-I	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Developing-Android-Apps---Exercises-I	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Developing-Android-Apps---Exercises-I	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Developing-Android-Apps---Exercises-I	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S2864	Developing-Android-Apps---Exercises-I	5min		"""entrySet()"" should be iterated when both the key and value are needed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	performance /	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Developing-Android-Apps---Exercises-I	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Developing-Android-Apps---Exercises-I	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Developing-Android-Apps---Exercises-I	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
BLOCKER	2023-03-07T02:54:15+0000		25.0		java:S2387	Developing-Android-Apps---Exercises-I	5min		"""x"" is the name of a field in ""Component""."	2023-03-07T02:54:15+0000	CODE_SMELL	false	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Developing-Android-Apps---Exercises-I	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	Developing-Android-Apps---Exercises-I	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		101.0		java:S3252	Developing-Android-Apps---Exercises-I	5min		"Use static access with ""javax.swing.WindowConstants"" for ""EXIT_ON_CLOSE""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	confusing / 	Developing-Android-Apps---Exercises-I:		MAIN	{startLine=101.0, endLine=101.0, startOffset=46.0, endOffset=59.0}	5min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
